Frequency,Amplitude,,Device,AD9253
0,-49.7417913750687,,Date,1/18/2022
7629.39453125,-47.060451254807,,Time,6:17:46 PM
15258.7890625,-57.7897435694363,,Sample Frequency,125,MHz
22888.18359375,-78.7511017804784,,Samples,16384
30517.578125,-101.218031475502,,DC Frequency,0,MHz
38146.97265625,-104.501839413113,,DC Power,-44.9530763724507,dBFS
45776.3671875,-109.1043575899,,Fund 1 Frequency,47.500172806972,MHz
53405.76171875,-111.459404399773,,Fund 1 Power,-8.35825981814786,dBFS
61035.15625,-103.865736457446,,Fund 1 Bins,21
68664.55078125,-101.348190822132,,Fund 2 Frequency,29.9997099291788,MHz
76293.9453125,-104.779383850447,,Fund 2 Power,-53.8811566383688,dBFS
83923.33984375,-111.397301199522,,F1 + F2 Power,-1.81352945480081E-07,dBc
91552.734375,-116.138993133284,,F2 - F1 Power,-62.7898086387372,dBc
99182.12890625,-113.167115066399,,2F1 - F2 Power,-80.838122988623,dBc
106811.5234375,-110.340525536486,,2F1 + F2 Power,-36.5948296917898,dBc
114440.91796875,-114.817310769489,,2F2 - F1 Power,-81.383769058175,dBc
122070.3125,-110.745757704624,,2F2 + F1 Power,-62.7898086387372,dBc
129699.70703125,-106.468189412356,,Worst Other Frequency,27.4999770932061,MHz
137329.1015625,-109.335134457436,,Worst Other Power,-85.0253109490678,dBFS
144958.49609375,-111.738826504983,,Noise / Hz,-149.347030704609,dBFS / Hz
152587.890625,-108.148190396785,,Average Bin Noise,-110.522129967486,dBFS
160217.28515625,-113.358732433104,,SFDR,1.81352946103917E-07,dBc
167846.6796875,-105.43146468547,,Comments
175476.07421875,-103.001684647835
183105.46875,-103.815140200151
190734.86328125,-107.002529272707
198364.2578125,-107.0562692701
205993.65234375,-105.471229169541
213623.046875,-106.852683668828
221252.44140625,-108.148798061799
228881.8359375,-108.051857461511
236511.23046875,-110.790174402179
244140.625,-114.612210465656
251770.01953125,-111.940886944603
259399.4140625,-109.678767159905
267028.80859375,-111.133592851082
274658.203125,-113.568815283049
282287.59765625,-130.407098033333
289916.9921875,-109.922220203112
297546.38671875,-106.269563412804
305175.78125,-107.182369746869
312805.17578125,-112.726834107529
320434.5703125,-115.791892777339
328063.96484375,-112.69690634767
335693.359375,-106.959852027221
343322.75390625,-105.494095150256
350952.1484375,-105.965679113531
358581.54296875,-104.014473310074
366210.9375,-107.063399248407
373840.33203125,-117.766371165251
381469.7265625,-113.132933846553
389099.12109375,-118.679471920485
396728.515625,-109.79987562452
404357.91015625,-107.557861686998
411987.3046875,-110.295836731231
419616.69921875,-117.159276040012
427246.09375,-115.572252750523
434875.48828125,-107.391214757846
442504.8828125,-106.712996743856
450134.27734375,-109.43811262158
457763.671875,-115.293210136847
465393.06640625,-125.771007917732
473022.4609375,-121.35674737544
480651.85546875,-108.025183175141
488281.25,-107.404266393077
495910.64453125,-117.091487612191
503540.0390625,-116.723505429525
511169.43359375,-113.567530433108
518798.828125,-119.743241118471
526428.22265625,-118.708793358394
534057.6171875,-107.562582562663
541687.01171875,-105.438427436525
549316.40625,-108.011663771968
556945.80078125,-109.500909330658
564575.1953125,-109.791605309742
572204.58984375,-109.696448214351
579833.984375,-107.331886828901
587463.37890625,-107.664648396147
595092.7734375,-105.793107146758
602722.16796875,-104.015646607633
610351.5625,-104.043798425711
617980.95703125,-105.031124624581
625610.3515625,-105.603715994393
633239.74609375,-105.382464200881
640869.140625,-108.876781159002
648498.53515625,-119.834723995055
656127.9296875,-121.062724975462
663757.32421875,-118.74426182214
671386.71875,-112.048485158643
679016.11328125,-112.034096897584
686645.5078125,-118.386308816677
694274.90234375,-136.705056199158
701904.296875,-107.356860124513
709533.69140625,-102.242108862991
717163.0859375,-103.768519190486
724792.48046875,-105.3830486108
732421.875,-112.623764069098
740051.26953125,-113.325759953289
747680.6640625,-109.53762805166
755310.05859375,-114.202618846549
762939.453125,-110.795864513292
770568.84765625,-105.002400959158
778198.2421875,-106.634979235651
785827.63671875,-111.503040741823
793457.03125,-109.073903024333
801086.42578125,-106.127556853562
808715.8203125,-102.621063085067
816345.21484375,-99.427461629677
823974.609375,-98.8773038262575
831604.00390625,-101.720366165169
839233.3984375,-107.01048358772
846862.79296875,-108.951546873093
854492.1875,-110.559501422204
862121.58203125,-117.112549498899
869750.9765625,-111.806927715297
877380.37109375,-110.409435309964
885009.765625,-115.762469010407
892639.16015625,-118.257471774105
900268.5546875,-116.132601580213
907897.94921875,-110.13033527116
915527.34375,-111.186719463991
923156.73828125,-128.499710346842
930786.1328125,-115.286524392242
938415.52734375,-111.256075223719
946044.921875,-111.28807096664
953674.31640625,-115.285800952356
961303.7109375,-110.344604757369
968933.10546875,-109.709428054986
976562.5,-111.406418480399
984191.89453125,-114.706208243124
991821.2890625,-126.015700027745
999450.68359375,-109.57870143461
1007080.078125,-105.155705673093
1014709.47265625,-108.130174080884
1022338.8671875,-110.991958139743
1029968.26171875,-110.081794712746
1037597.65625,-112.355246353553
1045227.05078125,-116.410657750493
1052856.4453125,-116.022219742007
1060485.83984375,-116.679736364214
1068115.234375,-109.880996243615
1075744.62890625,-104.185835326749
1083374.0234375,-104.212862216741
1091003.41796875,-106.492117753749
1098632.8125,-110.926004431537
1106262.20703125,-109.568338065349
1113891.6015625,-105.114616951368
1121520.99609375,-104.592474874812
1129150.390625,-107.176811238375
1136779.78515625,-113.201387475967
1144409.1796875,-110.309268795921
1152038.57421875,-109.680138846281
1159667.96875,-114.506291946915
1167297.36328125,-120.746780350479
1174926.7578125,-111.627523651311
1182556.15234375,-112.410292805185
